Year,Debris Count
1958,3
1959,12
1960,35
1961,322
1962,358
1963,497
1964,619
1965,1377
1966,1605
1967,1723
1968,2048
1969,2341
1970,2972
1971,3243
1972,3588
1973,3902
1974,4239
1975,4929
1976,5496
1977,5805
1978,6023
1979,6172
1980,6178
1981,6660
1982,8587
1983,8928
1984,9087
1985,9372
1986,10075
1987,10571
1988,10506
1989,10433
1990,10551
1991,10868
1992,11243
1993,13185
1994,14213
1995,14504
1996,14459
1997,15010
1998,15399
1999,19201
2000,19475
2001,19590
2002,19426
2003,19307
2004,19287
2005,19233
2006,20077
2007,20144
2008,19760
2009,19772
2010,19736
2011,19820
2012,19740
2013,19649
2014,19331
2015,19097
2016,19081
2017,19326
2018,19675
2019,20019
2020,20977
2021,22334
2022,23211
2023,24096
2024,25408